,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6687,聚水潭,100,1,100,"203,359名申请人中274名获发100股",0.13,0.0013
1,6687,聚水潭,100,2,200,"11,793名申请人中31名获发100股",0.26,0.0026
2,6687,聚水潭,100,3,300,"21,899名申请人中88名获发100股",0.4,0.004
3,6687,聚水潭,100,4,400,"4,904名申请人中26名获发100股",0.53,0.0053
4,6687,聚水潭,100,5,500,"6,029名申请人中40名获发100股",0.66,0.0066
5,6687,聚水潭,100,6,600,"3,954名申请人中32名获发100股",0.81,0.0081
6,6687,聚水潭,100,7,700,"2,213名申请人中20名获发100股",0.9,0.009
7,6687,聚水潭,100,8,800,"2,026名申请人中21名获发100股",1.04,0.0104
8,6687,聚水潭,100,9,900,"1,530名申请人中18名获发100股",1.18,0.0118
9,6687,聚水潭,100,10,1000,"11,845名申请人中159名获发100股",1.34,0.0134
10,6687,聚水潭,100,15,1500,"10,854名申请人中219名获发100股",2.02,0.0202
11,6687,聚水潭,100,20,2000,"5,709名申请人中154名获发100股",2.7,0.027
12,6687,聚水潭,100,25,2500,"2,918名申请人中98名获发100股",3.36,0.0336
13,6687,聚水潭,100,30,3000,"5,268名申请人中213名获发100股",4.04,0.0404
14,6687,聚水潭,100,35,3500,"2,737名申请人中129名获发100股",4.71,0.0471
15,6687,聚水潭,100,40,4000,"2,175名申请人中117名获发100股",5.38,0.0538
16,6687,聚水潭,100,45,4500,"1,593名申请人中95名获发100股",5.96,0.0596
17,6687,聚水潭,100,50,5000,"3,607名申请人中243名获发100股",6.74,0.0674
18,6687,聚水潭,100,60,6000,"2,703名申请人中218名获发100股",8.07,0.0807
19,6687,聚水潭,100,70,7000,"2,168名申请人中204名获发100股",9.41,0.0941
20,6687,聚水潭,100,80,8000,"1,987名申请人中214名获发100股",10.77,0.1077
21,6687,聚水潭,100,90,9000,"1,695名申请人中203名获发100股",11.98,0.1198
22,6687,聚水潭,100,100,10000,"12,676名申请人中1,711名获发100股",13.5,0.135
23,6687,聚水潭,100,200,20000,"8,048名申请人中2,079名获发100股",25.83,0.2583
24,6687,聚水潭,100,300,30000,"5,728名申请人中2,296名获发100股",40.07,0.4007
25,6687,聚水潭,100,400,40000,"3,482名申请人中1,840名获发100股",52.84,0.5284
26,6687,聚水潭,100,500,50000,"2,821名申请人中1,861名获发100股",65.97,0.6597
27,6687,聚水潭,100,600,60000,"2,251名申请人中1,699名获发100股",75.48,0.7548
28,6687,聚水潭,100,700,70000,"1,774名申请人中1,568名获发100股",88.39,0.8839
29,6687,聚水潭,100,800,80000,"1,425名申请人中1,424名获发100股",99.93,0.9993
