代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
6809,瀾起科技,100,1,100,"93,889名申请人中的4,694名获得100股股份",5.0,0.05
6809,瀾起科技,100,2,200,"12,432名申请人中的746名获得100股股份",6.0,0.06
6809,瀾起科技,100,3,300,"11,392名申请人中的854名获得100股股份",7.5,0.075
6809,瀾起科技,100,4,400,"15,774名申请人中的1,199名获得100股股份",7.6,0.076
6809,瀾起科技,100,5,500,"6,552名申请人中的531名获得100股股份",8.1,0.081
6809,瀾起科技,100,6,600,"3,074名申请人中的277名获得100股股份",9.01,0.0901
6809,瀾起科技,100,7,700,"2,307名申请人中的226名获得100股股份",9.8,0.098
6809,瀾起科技,100,8,800,"2,554名申请人中的266名获得100股股份",10.42,0.1042
6809,瀾起科技,100,9,900,"4,985名申请人中的538名获得100股股份",10.79,0.1079
6809,瀾起科技,100,10,1000,"11,980名申请人中的1,318名获得100股股份",11.0,0.11
6809,瀾起科技,100,15,1500,"6,041名申请人中的906名获得100股股份",15.0,0.15
6809,瀾起科技,100,20,2000,"5,715名申请人中的1,029名获得100股股份",18.01,0.1801
6809,瀾起科技,100,25,2500,"3,347名申请人中的669名获得100股股份",19.99,0.1999
6809,瀾起科技,100,30,3000,"3,515名申请人中的717名获得100股股份",20.4,0.204
6809,瀾起科技,100,35,3500,"2,348名申请人中的493名获得100股股份",21.0,0.21
6809,瀾起科技,100,40,4000,"2,753名申请人中的607名获得100股股份",22.05,0.2205
6809,瀾起科技,100,45,4500,"2,039名申请人中的450名获得100股股份",22.07,0.2207
6809,瀾起科技,100,50,5000,"4,512名申请人中的1,015名获得100股股份",22.5,0.225
6809,瀾起科技,100,60,6000,"3,403名申请人中的858名获得100股股份",25.21,0.2521
6809,瀾起科技,100,70,7000,"2,443名申请人中的650名获得100股股份",26.61,0.2661
6809,瀾起科技,100,80,8000,"2,266名申请人中的634名获得100股股份",27.98,0.2798
6809,瀾起科技,100,90,9000,"2,075名申请人中的598名获得100股股份",28.82,0.2882
6809,瀾起科技,100,100,10000,"11,337名申请人中的3,401名获得100股股份",30.0,0.3
6809,瀾起科技,100,200,20000,"7,177名申请人中的3,589名获得100股股份",50.01,0.5001
6809,瀾起科技,100,300,30000,"4,248名申请人中的2,931名获得100股股份",69.0,0.69
6809,瀾起科技,100,400,40000,"4,686名申请人中的3,749名获得100股股份",80.0,0.8
6809,瀾起科技,100,500,50000,"9,619名申请人中的6,493名获得100股股份",67.5,0.675
6809,瀾起科技,100,600,60000,"3,234名申请人中的2,426名获得100股股份",75.02,0.7502
6809,瀾起科技,100,700,70000,"2,033名申请人中的1,709名获得100股股份",84.06,0.8406
6809,瀾起科技,100,800,80000,"1,489名申请人中的1,370名获得100股股份",92.01,0.9201
6809,瀾起科技,100,900,90000,"1,225名申请人中的1,211名获得100股股份",98.86,0.9886
6809,瀾起科技,100,1000,100000,"5,020名申请人中的5,020名获得0股股份",0.0,0.0
6809,瀾起科技,100,2000,200000,"100股股份，另2,462名申请人中有1,967名获得额外100股股份",179.89,1.7989
6809,瀾起科技,100,3000,300000,200股股份,200.0,2.0
6809,瀾起科技,100,4000,400000,200股股份，另532名申请人中有273名获得额外100股股份,251.32,2.5132
6809,瀾起科技,100,5000,500000,300股股份,300.0,3.0
6809,瀾起科技,100,6000,600000,300股股份，另157名申请人中有75名获得额外100股股份,347.77,3.4777
6809,瀾起科技,100,7000,700000,400股股份,400.0,4.0
6809,瀾起科技,100,8000,800000,400股股份，另86名申请人中有41名获得额外100股股份,447.67,4.4767
6809,瀾起科技,100,9000,900000,500股股份,500.0,5.0
6809,瀾起科技,100,10000,1000000,500股股份，另194名申请人中有87名获得额外100股股份,544.85,5.4485
6809,瀾起科技,100,15000,1500000,800股股份,800.0,8.0
6809,瀾起科技,100,20000,2000000,1000股股份,1000.0,10.0
6809,瀾起科技,100,25000,2500000,1200股股份,1200.0,12.0
6809,瀾起科技,100,32945,3294500,1500股股份,1500.0,15.0
