,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6831,绿茶集团,400,1,400,"26,390名申请人中10,556名获发400股",160.0,0.4
1,6831,绿茶集团,400,2,800,"7,149名申请人中3,705名获发400股",207.3318,0.5183
2,6831,绿茶集团,400,3,1200,"9,197名申请人中5,546名获发400股",241.2428,0.6031
3,6831,绿茶集团,400,4,1600,"3,786名申请人中2,542名获发400股",268.5642,0.6714
4,6831,绿茶集团,400,5,2000,"4,120名申请人中3,007名获发400股",291.9417,0.7299
5,6831,绿茶集团,400,6,2400,"1,812名申请人中1,416名获发400股",312.5828,0.7815
6,6831,绿茶集团,400,7,2800,"2,613名申请人中2,163名获发400股",331.1887,0.828
7,6831,绿茶集团,400,8,3200,"1,536名申请人中1,337名获发400股",348.1771,0.8704
8,6831,绿茶集团,400,9,3600,831名申请人中756名获发400股,363.8989,0.9097
9,6831,绿茶集团,400,10,4000,"6,514名申请人中6,189名获发400股",380.0,0.95
10,6831,绿茶集团,400,15,6000,"400股 + 3,938名申请人中365名获发额外400股",437.0791,1.0927
11,6831,绿茶集团,400,20,8000,"400股 + 2,234名申请人中503名获发额外400股",490.064,1.2252
12,6831,绿茶集团,400,25,10000,"400股 + 6,447名申请人中2,137名获发额外400股",532.6076,1.3315
13,6831,绿茶集团,400,50,20000,"400股 + 4,573名申请人中3,315名获发额外400股",689.9642,1.7249
14,6831,绿茶集团,400,75,30000,800股,800.0,2.0
15,6831,绿茶集团,400,100,40000,"800股 + 1,997名申请人中469名获发额外400股",893.941,2.2349
16,6831,绿茶集团,400,125,50000,"800股 + 1,154名申请人中495名获发额外400股",971.5771,2.4289
