,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6883,颖通控股,1,1000,"12,854名获0股, 1,429名获1,000股",100.05,0.10005
1,6883,颖通控股,2,2000,"3,425名获0股, 782名获1,000股",185.88,0.18588
2,6883,颖通控股,3,3000,"1,068名获0股, 390名获1,000股",267.49,0.26749
3,6883,颖通控股,4,4000,"387名获0股, 205名获1,000股",346.28,0.34628
4,6883,颖通控股,5,5000,"620名获0股, 453名获1,000股",422.18,0.42218
5,6883,颖通控股,6,6000,"248名获0股, 246名获1,000股",498.0,0.498
6,6883,颖通控股,7,7000,"101名获0股, 135名获1,000股",572.03,0.57203
7,6883,颖通控股,8,8000,"74名获0股, 133名获1,000股",642.51,0.64251
8,6883,颖通控股,9,9000,"55名获0股, 137名获1,000股",713.54,0.71354
9,6883,颖通控股,10,10000,"561名获0股, 2,034名获1,000股",784.2,0.7842
10,6883,颖通控股,15,15000,"502名获0股, 732名获1,000股",593.68,0.59368
11,6883,颖通控股,20,20000,"371名获0股, 313名获2,000股",915.2,0.9152
12,6883,颖通控股,25,25000,"110名获1,000股, 388名获2,000股",1779.12,1.77912
13,6883,颖通控股,30,30000,"62名获2,000股, 65名获3,000股",2511.81,2.51181
14,6883,颖通控股,35,35000,"11名获2,000股, 79名获3,000股",2877.78,2.87778
15,6883,颖通控股,40,40000,"65名获2,000股, 159名获3,000股",2714.29,2.71429
16,6883,颖通控股,45,45000,"139名获3,000股, 24名获4,000股",3147.24,3.14724
17,6883,颖通控股,50,50000,"325名获3,000股, 143名获4,000股",3305.56,3.30556
18,6883,颖通控股,60,60000,"33名获3,000股, 273名获4,000股",3892.16,3.89216
19,6883,颖通控股,70,70000,"10名获4,000股, 89名获5,000股",4898.99,4.89899
20,6883,颖通控股,80,80000,"16名获5,000股, 6名获6,000股",5272.73,5.27273
21,6883,颖通控股,90,90000,"4名获5,000股, 43名获6,000股",5914.89,5.91489
22,6883,颖通控股,100,100000,"704名获6,000股, 118名获7,000股",6143.55,6.14355
23,6883,颖通控股,200,200000,"239名获11,000股, 171名获12,000股",11417.07,11.41707
24,6883,颖通控股,300,300000,"150名获16,000股, 104名获17,000股",16409.45,16.40945
25,6883,颖通控股,400,400000,"94名获21,000股, 27名获22,000股",21223.14,21.22314
26,6883,颖通控股,500,500000,"162名获25,000股, 153名获26,000股",25485.71,25.48571
27,6883,颖通控股,600,600000,"33名获30,000股, 32名获31,000股",30492.31,30.49231
28,6883,颖通控股,700,700000,"28名获35,000股, 19名获44,000股",38638.3,38.6383
29,6883,颖通控股,800,800000,"19名获39,000股, 15名获40,000股",39441.18,39.44118
30,6883,颖通控股,900,900000,"4名获43,000股, 19名获44,000股",43826.09,43.82609
31,6883,颖通控股,1000,1000000,"129名获48,000股, 23名获49,000股",48151.32,48.15132
32,6883,颖通控股,2000,2000000,"84名获298,000股, 298名获298,000股",298000.0,298.0
33,6883,颖通控股,3000,3000000,"16名获444,000股, 444名获444,000股",444000.0,444.0
34,6883,颖通控股,4000,4000000,"6名获591,000股, 591名获591,000股",591000.0,591.0
35,6883,颖通控股,5000,5000000,"3名获738,000股, 738名获738,000股",738000.0,738.0
36,6883,颖通控股,6000,6000000,"2名获885,000股, 885名获885,000股",885000.0,885.0
37,6883,颖通控股,7000,7000000,"4名获1,031,000股, 1,031名获1,031,000股",1031000.0,1031.0
38,6883,颖通控股,9000,9000000,"1名获1,324,000股, 1,324名获1,324,000股",1324000.0,1324.0
39,6883,颖通控股,16670,16670000,"2名获2,448,000股, 2,448名获2,448,000股",2448000.0,2448.0
