代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
6938,瑞博生物-B,200,1,200,"26,796名申请人中的457名获得200股股份",3.41,0.0171
6938,瑞博生物-B,200,2,400,"2,121名申请人中的72名获得200股股份",6.79,0.0339
6938,瑞博生物-B,200,3,600,"1,068名申请人中的54名获得200股股份",10.11,0.0506
6938,瑞博生物-B,200,4,800,"3,408名申请人中的227名获得200股股份",13.32,0.0666
6938,瑞博生物-B,200,5,1000,749名申请人中的62名获得200股股份,16.56,0.0828
6938,瑞博生物-B,200,6,1200,211名申请人中的21名获得200股股份,19.91,0.0995
6938,瑞博生物-B,200,7,1400,175名申请人中的20名获得200股股份,22.86,0.1143
6938,瑞博生物-B,200,8,1600,434名申请人中的56名获得200股股份,25.81,0.129
6938,瑞博生物-B,200,9,1800,344名申请人中的50名获得200股股份,29.07,0.1453
6938,瑞博生物-B,200,10,2000,"1,897名申请人中的304名获得200股股份",32.05,0.1603
6938,瑞博生物-B,200,15,3000,586名申请人中的141名获得200股股份,48.12,0.2406
6938,瑞博生物-B,200,20,4000,481名申请人中的154名获得200股股份,64.03,0.3202
6938,瑞博生物-B,200,25,5000,319名申请人中的127名获得200股股份,79.62,0.3981
6938,瑞博生物-B,200,30,6000,304名申请人中的145名获得200股股份,95.39,0.477
6938,瑞博生物-B,200,35,7000,180名申请人中的100名获得200股股份,111.11,0.5556
6938,瑞博生物-B,200,40,8000,212名申请人中的135名获得200股股份,127.36,0.6368
6938,瑞博生物-B,200,45,9000,142名申请人中的101名获得200股股份,142.25,0.7113
6938,瑞博生物-B,200,50,10000,978名申请人中的775名获得200股股份,158.49,0.7924
6938,瑞博生物-B,200,100,20000,200股股份，另680名申请人中有397名获得额外200股股份,316.76,1.5838
6938,瑞博生物-B,200,150,30000,400股股份，另234名申请人中有88名获得额外200股股份,475.21,2.3761
6938,瑞博生物-B,200,200,40000,600股股份，另156名申请人中有21名获得额外200股股份,626.92,3.1346
6938,瑞博生物-B,200,250,50000,600股股份，另120名申请人中有110名获得额外200股股份,783.33,3.9167
6938,瑞博生物-B,200,300,60000,800股股份，另93名申请人中有65名获得额外200股股份,939.78,4.6989
6938,瑞博生物-B,200,350,70000,1000股股份，另53名申请人中有26名获得额外200股股份,1098.11,5.4906
6938,瑞博生物-B,200,400,80000,1200股股份，另88名申请人中有23名获得额外200股股份,1252.27,6.2614
6938,瑞博生物-B,200,450,90000,600股股份，另466名申请人中有106名获得额外200股股份,645.49,3.2275
6938,瑞博生物-B,200,500,100000,600股股份，另151名申请人中有89名获得额外200股股份,717.88,3.5894
6938,瑞博生物-B,200,750,150000,1000股股份，另87名申请人中有33名获得额外200股股份,1075.86,5.3793
6938,瑞博生物-B,200,1000,200000,1400股股份，另73名申请人中有13名获得额外200股股份,1435.62,7.1781
6938,瑞博生物-B,200,1250,250000,1600股股份，另34名申请人中有33名获得额外200股股份,1794.12,8.9706
6938,瑞博生物-B,200,1500,300000,2000股股份，另18名申请人中有14名获得额外200股股份,2155.56,10.7778
6938,瑞博生物-B,200,1750,350000,2400股股份，另11名申请人中有6名获得额外200股股份,2509.09,12.5455
6938,瑞博生物-B,200,2000,400000,2800股股份，另21名申请人中有7名获得额外200股股份,2866.67,14.3333
6938,瑞博生物-B,200,2500,500000,3400股股份，另13名申请人中有12名获得额外200股股份,3584.62,17.9231
6938,瑞博生物-B,200,3000,600000,4200股股份，另6名申请人中有3名获得额外200股股份,4300.0,21.5
6938,瑞博生物-B,200,3500,700000,5000股股份，另9名申请人中有1名获得额外200股股份,5022.22,25.1111
6938,瑞博生物-B,200,4000,800000,5600股股份，另6名申请人中有4名获得额外200股股份,5733.33,28.6667
6938,瑞博生物-B,200,4500,900000,6400股股份，另2名申请人中有1名获得额外200股股份,6500.0,32.5
6938,瑞博生物-B,200,5000,1000000,7000股股份，另11名申请人中有10名获得额外200股股份,7181.82,35.9091
6938,瑞博生物-B,200,6872,1374400,9800股股份，另34名申请人中有10名获得额外200股股份,9858.82,49.2941
