代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
6960,雙登股份,500,1,500,"62,059名申请人中的36名获得500股股份",0.29,0.0006
6960,雙登股份,500,2,1000,"14,760名申请人中的17名获得500股股份",0.58,0.0012
6960,雙登股份,500,3,1500,"9,337名申请人中的16名获得500股股份",0.86,0.0017
6960,雙登股份,500,4,2000,"5,916名申请人中的14名获得500股股份",1.18,0.0024
6960,雙登股份,500,5,2500,"4,614名申请人中的13名获得500股股份",1.41,0.0028
6960,雙登股份,500,6,3000,"10,065名申请人中的35名获得500股股份",1.74,0.0035
6960,雙登股份,500,7,3500,"2,438名申请人中的10名获得500股股份",2.05,0.0041
6960,雙登股份,500,8,4000,"2,249名申请人中的10名获得500股股份",2.22,0.0044
6960,雙登股份,500,9,4500,"1,505名申请人中的8名获得500股股份",2.66,0.0053
6960,雙登股份,500,10,5000,"7,314名申请人中的42名获得500股股份",2.87,0.0057
6960,雙登股份,500,12,6000,"5,001名申请人中的35名获得500股股份",3.5,0.007
6960,雙登股份,500,14,7000,"3,791名申请人中的31名获得500股股份",4.09,0.0082
6960,雙登股份,500,16,8000,"2,211名申请人中的20名获得500股股份",4.52,0.009
6960,雙登股份,500,18,9000,"3,066名申请人中的32名获得500股股份",5.22,0.0104
6960,雙登股份,500,20,10000,"8,761名申请人中的101名获得500股股份",5.76,0.0115
6960,雙登股份,500,30,15000,"5,496名申请人中的95名获得500股股份",8.64,0.0173
6960,雙登股份,500,40,20000,"4,551名申请人中的105名获得500股股份",11.54,0.0231
6960,雙登股份,500,50,25000,"3,976名申请人中的115名获得500股股份",14.46,0.0289
6960,雙登股份,500,60,30000,"3,358名申请人中的117名获得500股股份",17.42,0.0348
6960,雙登股份,500,70,35000,"2,497名申请人中的101名获得500股股份",20.22,0.0404
6960,雙登股份,500,80,40000,"2,241名申请人中的104名获得500股股份",23.2,0.0464
6960,雙登股份,500,90,45000,"1,556名申请人中的81名获得500股股份",26.03,0.0521
6960,雙登股份,500,100,50000,"3,709名申请人中的215名获得500股股份",28.98,0.058
6960,雙登股份,500,120,60000,"2,661名申请人中的185名获得500股股份",34.76,0.0695
6960,雙登股份,500,140,70000,"2,544名申请人中的206名获得500股股份",40.49,0.081
6960,雙登股份,500,160,80000,"1,898名申请人中的176名获得500股股份",46.36,0.0927
6960,雙登股份,500,180,90000,"1,469名申请人中的153名获得500股股份",52.08,0.1042
6960,雙登股份,500,200,100000,"9,200名申请人中的1,065名获得500股股份",57.88,0.1158
6960,雙登股份,500,400,200000,"5,524名申请人中的1,279名获得500股股份",115.77,0.2315
6960,雙登股份,500,600,300000,"4,145名申请人中的1,439名获得500股股份",173.58,0.3472
6960,雙登股份,500,800,400000,"5,804名申请人中的771名获得500股股份",66.42,0.1328
6960,雙登股份,500,1000,500000,"3,127名申请人中的519名获得500股股份",82.99,0.166
6960,雙登股份,500,1200,600000,"2,185名申请人中的435名获得500股股份",99.54,0.1991
6960,雙登股份,500,1400,700000,"1,472名申请人中的342名获得500股股份",116.17,0.2323
6960,雙登股份,500,1600,800000,"1,065名申请人中的283名获得500股股份",132.86,0.2657
6960,雙登股份,500,1800,900000,771名申请人中的230名获得500股股份,149.16,0.2983
6960,雙登股份,500,2000,1000000,"2,176名申请人中的722名获得500股股份",165.9,0.3318
6960,雙登股份,500,3000,1500000,"1,145名申请人中的570名获得500股股份",248.91,0.4978
6960,雙登股份,500,4000,2000000,924名申请人中的614名获得500股股份,332.25,0.6645
6960,雙登股份,500,5856,2928000,"1,409名申请人中的1,370名获得500股股份",486.16,0.9723
