,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6980,八马茶业,1,100,"94,785名中759名获得100股股份",0.79,0.0079
1,6980,八马茶业,2,200,"9,349名中105名获得100股股份",1.11,0.0111
2,6980,八马茶业,3,300,"4,094名中56名获得100股股份",1.35,0.0135
3,6980,八马茶业,4,400,"3,080名中49名获得100股股份",1.57,0.0157
4,6980,八马茶业,5,500,"3,441名中60名获得100股股份",1.71,0.0171
5,6980,八马茶业,6,600,"1,703名中33名获得100股股份",1.9,0.019
6,6980,八马茶业,7,700,"1,054名中22名获得100股股份",2.04,0.0204
7,6980,八马茶业,8,800,"1,136名中25名获得100股股份",2.15,0.0215
8,6980,八马茶业,9,900,"4,815名中111名获得100股股份",2.25,0.0225
9,6980,八马茶业,10,1000,"7,031名中171名获得100股股份",2.38,0.0238
10,6980,八马茶业,15,1500,"2,368名中70名获得100股股份",2.87,0.0287
11,6980,八马茶业,20,2000,"2,950名中100名获得100股股份",3.28,0.0328
12,6980,八马茶业,25,2500,"1,184名中45名获得100股股份",3.66,0.0366
13,6980,八马茶业,30,3000,"1,321名中55名获得100股股份",4.0,0.04
14,6980,八马茶业,35,3500,908名中41名获得100股股份,4.32,0.0432
15,6980,八马茶业,40,4000,"1,142名中54名获得100股股份",4.52,0.0452
16,6980,八马茶业,45,4500,695名中35名获得100股股份,4.79,0.0479
17,6980,八马茶业,50,5000,"1,642名中87名获得100股股份",5.03,0.0503
18,6980,八马茶业,60,6000,923名中53名获得100股股份,5.43,0.0543
19,6980,八马茶业,70,7000,750名中47名获得100股股份,5.9,0.059
20,6980,八马茶业,80,8000,711名中47名获得100股股份,6.2,0.062
21,6980,八马茶业,90,9000,667名中47名获得100股股份,6.58,0.0658
22,6980,八马茶业,100,10000,"3,311名中735名获得100股股份",21.82,0.2182
23,6980,八马茶业,150,15000,"1,718名中774名获得100股股份",31.07,0.3107
24,6980,八马茶业,200,20000,626名中373名获得100股股份,37.34,0.3734
25,6980,八马茶业,250,25000,414名中307名获得100股股份,42.58,0.4258
26,6980,八马茶业,300,30000,339名中300名获得100股股份,46.95,0.4695
27,6980,八马茶业,350,35000,254名中7名获得额外100股股份,102.68,1.0268
28,6980,八马茶业,400,40000,157名中27名获得额外100股股份,114.67,1.1467
29,6980,八马茶业,450,45000,"1,755名中546名获得额外100股股份",123.73,1.2373
