,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,699,均胜电子,1,500,"49,001名中7,840名获发500股股份",80.0,0.16
1,699,均胜电子,2,1000,"5,907名中1,011名获发500股股份",85.58,0.17116
2,699,均胜电子,3,1500,"2,880名中493名获发500股股份",85.59,0.17118
3,699,均胜电子,4,2000,"7,055名中1,208名获发500股股份",85.6,0.1712
4,699,均胜电子,5,2500,"1,745名中299名获发500股股份",85.67,0.17134
5,699,均胜电子,6,3000,"1,202名中206名获发500股股份",85.69,0.17138
6,699,均胜电子,7,3500,716名中123名获发500股股份,85.89,0.17178
7,699,均胜电子,8,4000,"1,414名中243名获发500股股份",85.93,0.17186
8,699,均胜电子,9,4500,"1,079名中186名获发500股股份",86.19,0.17238
9,699,均胜电子,10,5000,"3,447名中595名获发500股股份",86.31,0.17262
10,699,均胜电子,12,6000,"1,017名中176名获发500股股份",86.53,0.17306
11,699,均胜电子,14,7000,714名中124名获发500股股份,86.83,0.17366
12,699,均胜电子,16,8000,750名中131名获发500股股份,87.33,0.17466
13,699,均胜电子,18,9000,555名中97名获发500股股份,87.39,0.17478
14,699,均胜电子,20,10000,"2,541名中445名获发500股股份",87.56,0.17512
15,699,均胜电子,30,15000,"1,431名中252名获发500股股份",88.05,0.1761
16,699,均胜电子,40,20000,"1,376名中243名获发500股股份",88.3,0.1766
17,699,均胜电子,50,25000,"1,033名中183名获发500股股份",88.58,0.17716
18,699,均胜电子,60,30000,866名中154名获发500股股份,88.91,0.17782
19,699,均胜电子,70,35000,626名中113名获发500股股份,90.26,0.18052
20,699,均胜电子,80,40000,666名中121名获发500股股份,90.84,0.18168
21,699,均胜电子,90,45000,520名中95名获发500股股份,91.35,0.1827
22,699,均胜电子,100,50000,"1,244名中228名获发500股股份",91.64,0.18328
23,699,均胜电子,120,60000,663名中122名获发500股股份,92.01,0.18402
24,699,均胜电子,140,70000,440名中81名获发500股股份,92.05,0.1841
25,699,均胜电子,160,80000,382名中71名获发500股股份,92.93,0.18586
26,699,均胜电子,180,90000,306名中58名获发500股股份,94.77,0.18954
27,699,均胜电子,200,100000,"1,800名中342名获发500股股份",95.0,0.19
28,699,均胜电子,400,200000,"1,415名中270名获发500股股份",95.41,0.19082
