,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,7618,京東工業,200,1,200,"25,463名申请人中8,912名获发200股",70.0,0.35
1,7618,京東工業,200,2,400,"5,087名申请人中1,921名获发200股",75.53,0.38
2,7618,京東工業,200,3,600,"8,452名申请人中3,519名获发200股",83.27,0.42
3,7618,京東工業,200,4,800,"1,971名申请人中858名获发200股",87.07,0.44
4,7618,京東工業,200,5,1000,"2,614名申请人中1,161名获发200股",88.83,0.44
5,7618,京東工業,200,6,1200,"1,209名申请人中572名获发200股",94.62,0.47
6,7618,京東工業,200,7,1400,995名申请人中479名获发200股,96.28,0.48
7,7618,京東工業,200,8,1600,919名申请人中469名获发200股,102.07,0.51
8,7618,京東工業,200,9,1800,626名申请人中331名获发200股,105.75,0.53
9,7618,京東工業,200,10,2000,"3,777名申请人中2,183名获发200股",115.62,0.58
10,7618,京東工業,200,15,3000,"3,785名申请人中2,771名获发200股",146.47,0.73
11,7618,京東工業,200,20,4000,"1,348名申请人中992名获发200股",147.18,0.74
12,7618,京東工業,200,25,5000,910名申请人中678名获发200股,149.01,0.75
13,7618,京東工業,200,30,6000,"1,141名申请人中856名获发200股",150.04,0.75
14,7618,京東工業,200,35,7000,"1,249名申请人中985名获发200股",157.73,0.79
15,7618,京東工業,200,40,8000,"1,100名申请人中959名获发200股",174.36,0.87
16,7618,京東工業,200,45,9000,975名申请人中913名获发200股,187.28,0.94
17,7618,京東工業,200,50,10000,"3,479名申请人全部获发200股",200.0,1.0
18,7618,京東工業,200,100,20000,"1,520名申请人中380名获发额外200股",250.0,1.25
19,7618,京東工業,200,150,30000,769名申请人中577名获发额外200股,350.07,1.75
20,7618,京東工業,200,200,40000,541名申请人全部获发400股,400.0,2.0
21,7618,京東工業,200,250,50000,418名申请人中167名获发额外200股,479.9,2.4
22,7618,京東工業,200,300,60000,397名申请人中298名获发额外200股,550.13,2.75
23,7618,京東工業,200,350,70000,282名申请人全部获发600股,600.0,3.0
24,7618,京東工業,200,400,80000,217名申请人中87名获发额外200股,680.18,3.4
25,7618,京東工業,200,450,90000,184名申请人中138名获发额外200股,750.0,3.75
26,7618,京東工業,200,500,100000,"1,252名申请人全部获发800股",800.0,4.0
27,7618,京東工業,200,1000,200000,"430名申请人全部获发1,400股",1400.0,7.0
28,7618,京東工業,200,1500,300000,"405名申请人全部获发2,000股",2000.0,10.0
