,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,800,文远知行,1,100,"32,160名中2,135名获得100股股份",6.64,0.0664
1,800,文远知行,2,200,"8,553名中1,135名获得100股股份",13.27,0.1327
2,800,文远知行,3,300,"3,230名中643名获得100股股份",19.91,0.1991
3,800,文远知行,4,400,"1,247名中331名获得100股股份",26.54,0.2654
4,800,文远知行,5,500,"1,904名中632名获得100股股份",33.19,0.3319
5,800,文远知行,6,600,806名中321名获得100股股份,39.83,0.3983
6,800,文远知行,7,700,527名中245名获得100股股份,46.49,0.4649
7,800,文远知行,8,800,552名中293名获得100股股份,53.08,0.5308
8,800,文远知行,9,900,382名中228名获得100股股份,59.69,0.5969
9,800,文远知行,10,1000,"5,739名中3,803名获得100股股份",66.27,0.6627
10,800,文远知行,15,1500,"1,117名中1,111名获得100股股份",99.46,0.9946
11,800,文远知行,20,2000,"100股股份加1,147名中374名获得额外100股股份",132.6,1.326
12,800,文远知行,25,2500,100股股份加568名中374名获得额外100股股份,165.85,1.6585
13,800,文远知行,30,3000,"100股股份加1,253名中1,238名获得额外100股股份",198.82,1.9882
14,800,文远知行,35,3500,200股股份加337名中108名获得额外100股股份,232.05,2.3205
15,800,文远知行,40,4000,200股股份加304名中198名获得额外100股股份,265.13,2.6513
16,800,文远知行,45,4500,200股股份加182名中179名获得额外100股股份,298.35,2.9835
17,800,文远知行,50,5000,300股股份加654名中206名获得额外100股股份,331.5,3.315
18,800,文远知行,60,6000,300股股份加349名中342名获得额外100股股份,398.0,3.98
19,800,文远知行,70,7000,400股股份加221名中142名获得额外100股股份,464.25,4.6425
20,800,文远知行,80,8000,500股股份加241名中73名获得额外100股股份,530.29,5.3029
21,800,文远知行,90,9000,500股股份加137名中133名获得额外100股股份,597.08,5.9708
22,800,文远知行,100,10000,"600股股份加1,124名中708名获得额外100股股份",663.0,6.63
23,800,文远知行,200,20000,"1,300股股份加552名中145名获得额外100股股份",1326.27,13.2627
24,800,文远知行,300,30000,"1,900股股份加388名中346名获得额外100股股份",1989.18,19.8918
25,800,文远知行,400,40000,"2,600股股份加154名中81名获得额外100股股份",2652.6,26.526
26,800,文远知行,500,50000,"3,300股股份加176名中27名获得额外100股股份",3315.34,33.1534
27,800,文远知行,600,60000,"3,900股股份加98名中77名获得额外100股股份",3978.57,39.7857
28,800,文远知行,700,70000,"4,600股股份加51名中21名获得额外100股股份",4641.18,46.4118
29,800,文远知行,800,80000,"5,300股股份加68名中3名获得额外100股股份",5304.41,53.0441
30,800,文远知行,900,90000,"5,900股股份加34名中23名获得额外100股股份",5967.65,59.6765
31,800,文远知行,1000,100000,"6,600股股份加291名中90名获得额外100股股份",6630.93,66.3093
