,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,8549,金叶国际集团,1,5000,"52,976名中267名获发5,000股股份",25.07,0.00501
1,8549,金叶国际集团,2,10000,"11,704名中62名获发5,000股股份",26.35,0.00527
2,8549,金叶国际集团,3,15000,"34,242名中186名获发5,000股股份",27.02,0.0054
3,8549,金叶国际集团,4,20000,"4,599名中26名获发5,000股股份",28.11,0.00562
4,8549,金叶国际集团,5,25000,"3,846名中23名获发5,000股股份",29.72,0.00594
5,8549,金叶国际集团,6,30000,"3,094名中19名获发5,000股股份",30.52,0.0061
6,8549,金叶国际集团,7,35000,"2,029名中13名获发5,000股股份",31.83,0.00637
7,8549,金叶国际集团,8,40000,"1,850名中12名获发5,000股股份",32.22,0.00644
8,8549,金叶国际集团,9,45000,"1,421名中10名获发5,000股股份",34.94,0.00699
9,8549,金叶国际集团,10,50000,"6,909名中51名获发5,000股股份",36.64,0.00733
10,8549,金叶国际集团,12,60000,"1,865名中14名获发5,000股股份",37.25,0.00745
11,8549,金叶国际集团,14,70000,"3,308名中27名获发5,000股股份",40.48,0.0081
12,8549,金叶国际集团,16,80000,"1,341名中11名获发5,000股股份",40.68,0.00814
13,8549,金叶国际集团,18,90000,"951名中8名获发5,000股股份",41.71,0.00834
14,8549,金叶国际集团,20,100000,"4,377名中37名获发5,000股股份",41.91,0.00838
15,8549,金叶国际集团,30,150000,"2,906名中25名获发5,000股股份",42.65,0.00853
16,8549,金叶国际集团,40,200000,"2,302名中20名获发5,000股股份",43.07,0.00861
17,8549,金叶国际集团,50,250000,"1,465名中14名获发5,000股股份",47.33,0.00947
18,8549,金叶国际集团,60,300000,"1,345名中13名获发5,000股股份",47.86,0.00957
19,8549,金叶国际集团,70,350000,"928名中10名获发5,000股股份",53.3,0.01066
20,8549,金叶国际集团,80,400000,"828名中9名获发5,000股股份",53.76,0.01075
21,8549,金叶国际集团,90,450000,"710名中8名获发5,000股股份",55.71,0.01114
22,8549,金叶国际集团,100,500000,"1,778名中21名获发5,000股股份",58.37,0.01167
23,8549,金叶国际集团,120,600000,"918名中11名获发5,000股股份",59.2,0.01184
24,8549,金叶国际集团,140,700000,"807名中10名获发5,000股股份",61.2,0.01224
25,8549,金叶国际集团,160,800000,"701名中9名获发5,000股股份",63.38,0.01268
26,8549,金叶国际集团,180,900000,"518名中7名获发5,000股股份",66.67,0.01333
27,8549,金叶国际集团,200,1000000,"2,079名中29名获发5,000股股份",68.8,0.01376
28,8549,金叶国际集团,300,1500000,"1,530名中23名获发5,000股股份",74.05,0.01481
29,8549,金叶国际集团,400,2000000,"1,168名中24名获发5,000股股份",100.67,0.02013
30,8549,金叶国际集团,500,2500000,"892名中23名获发5,000股股份",125.68,0.02514
31,8549,金叶国际集团,600,3000000,"833名中25名获发5,000股股份",145.69,0.02914
32,8549,金叶国际集团,700,3500000,"627名中22名获发5,000股股份",169.49,0.0339
33,8549,金叶国际集团,800,4000000,"482名中20名获发5,000股股份",199.2,0.03984
34,8549,金叶国际集团,900,4500000,"525名中24名获发5,000股股份",218.58,0.04372
35,8549,金叶国际集团,1000,5000000,"851名中43名获发5,000股股份",240.49,0.0481
36,8549,金叶国际集团,1200,6000000,"587名中36名获发5,000股股份",288.92,0.05778
37,8549,金叶国际集团,1400,7000000,"1,207名中85名获发5,000股股份",329.02,0.0658
38,8549,金叶国际集团,1600,8000000,"1,497名中120名获发5,000股股份",370.93,0.07419
39,8549,金叶国际集团,1800,9000000,"557名中51名获发5,000股股份",419.24,0.08385
40,8549,金叶国际集团,2000,10000000,"5,513名中552名获发5,000股股份",455.07,0.09101
