代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
8610,BBSB INTL,4000,1,4000,"41,854名申请人中的21名获得4000股股份",2.01,0.0005
8610,BBSB INTL,4000,2,8000,"11,007名申请人中的7名获得4000股股份",2.54,0.0006
8610,BBSB INTL,4000,3,12000,"34,340名申请人中的22名获得4000股股份",2.56,0.0006
8610,BBSB INTL,4000,4,16000,"3,281名申请人中的2名获得4000股股份",2.44,0.0006
8610,BBSB INTL,4000,5,20000,"3,300名申请人中的2名获得4000股股份",2.42,0.0006
8610,BBSB INTL,4000,6,24000,"1,461名申请人中的1名获得4000股股份",2.74,0.0007
8610,BBSB INTL,4000,7,28000,"1,336名申请人中的1名获得4000股股份",2.99,0.0007
8610,BBSB INTL,4000,8,32000,"1,225名申请人中的1名获得4000股股份",3.27,0.0008
8610,BBSB INTL,4000,9,36000,879名申请人中的1名获得4000股股份,4.55,0.0011
8610,BBSB INTL,4000,10,40000,"4,920名申请人中的5名获得4000股股份",4.07,0.001
8610,BBSB INTL,4000,12,48000,"1,233名申请人中的1名获得4000股股份",3.24,0.0008
8610,BBSB INTL,4000,14,56000,988名申请人中的1名获得4000股股份,4.05,0.001
8610,BBSB INTL,4000,16,64000,"2,110名申请人中的3名获得4000股股份",5.69,0.0014
8610,BBSB INTL,4000,18,72000,"1,186名申请人中的2名获得4000股股份",6.75,0.0017
8610,BBSB INTL,4000,20,80000,"3,451名申请人中的6名获得4000股股份",6.95,0.0017
8610,BBSB INTL,4000,30,120000,"2,527名申请人中的7名获得4000股股份",11.08,0.0028
8610,BBSB INTL,4000,40,160000,"2,007名申请人中的7名获得4000股股份",13.95,0.0035
8610,BBSB INTL,4000,50,200000,"2,638名申请人中的12名获得4000股股份",18.2,0.0045
8610,BBSB INTL,4000,75,300000,"1,398名申请人中的10名获得4000股股份",28.61,0.0072
8610,BBSB INTL,4000,100,400000,"1,399名申请人中的13名获得4000股股份",37.17,0.0093
8610,BBSB INTL,4000,125,500000,940名申请人中的11名获得4000股股份,46.81,0.0117
8610,BBSB INTL,4000,150,600000,721名申请人中的10名获得4000股股份,55.48,0.0139
8610,BBSB INTL,4000,175,700000,574名申请人中的9名获得4000股股份,62.72,0.0157
8610,BBSB INTL,4000,200,800000,763名申请人中的14名获得4000股股份,73.39,0.0183
8610,BBSB INTL,4000,225,900000,448名申请人中的9名获得4000股股份,80.36,0.0201
8610,BBSB INTL,4000,250,1000000,"1,884名申请人中的43名获得4000股股份",91.3,0.0228
8610,BBSB INTL,4000,375,1500000,"1,525名申请人中的53名获得4000股股份",139.02,0.0348
8610,BBSB INTL,4000,500,2000000,"1,171名申请人中的54名获得4000股股份",184.46,0.0461
8610,BBSB INTL,4000,625,2500000,671名申请人中的39名获得4000股股份,232.49,0.0581
8610,BBSB INTL,4000,750,3000000,672名申请人中的46名获得4000股股份,273.81,0.0685
8610,BBSB INTL,4000,875,3500000,553名申请人中的45名获得4000股股份,325.5,0.0814
8610,BBSB INTL,4000,1000,4000000,542名申请人中的50名获得4000股股份,369.0,0.0923
8610,BBSB INTL,4000,1125,4500000,475名申请人中的49名获得4000股股份,412.63,0.1032
8610,BBSB INTL,4000,1250,5000000,"2,115名申请人中的243名获得4000股股份",459.57,0.1149
8610,BBSB INTL,4000,1875,7500000,"2,955名申请人中的510名获得4000股股份",690.36,0.1726
8610,BBSB INTL,4000,2500,10000000,"1,123名申请人中的258名获得4000股股份",918.97,0.2297
8610,BBSB INTL,4000,3125,12500000,"5,417名申请人中的1,557名获得4000股股份",1149.71,0.2874
