,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,9606,映恩生物-B,100,1,100,"4,613名中3,691名获发100股",80.0126,0.8001
1,9606,映恩生物-B,100,2,200,"1,573名中1,290名获发100股",82.0095,0.8201
2,9606,映恩生物-B,100,3,300,899名中755名获发100股,83.9822,0.8398
3,9606,映恩生物-B,100,4,400,"2,339名中1,965名获发100股",84.0103,0.8401
4,9606,映恩生物-B,100,5,500,980名中833名获发100股,85.0,0.85
5,9606,映恩生物-B,100,6,600,488名中439名获发100股,89.959,0.8996
6,9606,映恩生物-B,100,7,700,450名中410名获发100股,91.1111,0.9111
7,9606,映恩生物-B,100,8,800,444名中412名获发100股,92.7928,0.9279
8,9606,映恩生物-B,100,9,900,"1,190名中1,125名获发100股",94.5378,0.9454
9,9606,映恩生物-B,100,10,1000,100股,100.0,1.0
10,9606,映恩生物-B,100,15,1500,"100股 + 1,386名中281名获发额外100股",120.2749,1.2027
11,9606,映恩生物-B,100,20,2000,"100股 + 1,402名中561名获发额外100股",140.0143,1.4001
12,9606,映恩生物-B,100,25,2500,100股 + 824名中412名获发额外100股,150.0,1.5
13,9606,映恩生物-B,100,30,3000,100股 + 847名中551名获发额外100股,165.0531,1.6505
14,9606,映恩生物-B,100,35,3500,100股 + 660名中495名获发额外100股,175.0,1.75
15,9606,映恩生物-B,100,40,4000,100股 + 690名中552名获发额外100股,180.0,1.8
16,9606,映恩生物-B,100,45,4500,100股 + 551名中490名获发额外100股,188.9292,1.8893
17,9606,映恩生物-B,100,50,5000,200股,200.0,2.0
18,9606,映恩生物-B,100,60,6000,200股 + 304名中67名获发额外100股,222.0395,2.2204
19,9606,映恩生物-B,100,70,7000,200股 + 192名中73名获发额外100股,238.0208,2.3802
20,9606,映恩生物-B,100,80,8000,200股 + 236名中113名获发额外100股,247.8814,2.4788
21,9606,映恩生物-B,100,90,9000,200股 + 205名中125名获发额外100股,260.9756,2.6098
22,9606,映恩生物-B,100,100,10000,"200股 + 1,140名中798名获发额外100股",270.0,2.7
23,9606,映恩生物-B,100,200,20000,500股,500.0,5.0
24,9606,映恩生物-B,100,300,30000,700股,700.0,7.0
25,9606,映恩生物-B,100,400,40000,900股,900.0,9.0
26,9606,映恩生物-B,100,500,50000,"2,200股 + 755名中3名获发额外100股",2200.3974,22.004
27,9606,映恩生物-B,100,600,60000,"2,600股",2600.0,26.0
28,9606,映恩生物-B,100,700,70000,"3,000股",3000.0,30.0
29,9606,映恩生物-B,100,800,80000,"3,400股",3400.0,34.0
30,9606,映恩生物-B,100,900,90000,"3,800股",3800.0,38.0
31,9606,映恩生物-B,100,1000,100000,"4,100股",4100.0,41.0
32,9606,映恩生物-B,100,1500,150000,"6,000股",6000.0,60.0
33,9606,映恩生物-B,100,2000,200000,"7,800股",7800.0,78.0
34,9606,映恩生物-B,100,2500,250000,"9,700股",9700.0,97.0
35,9606,映恩生物-B,100,3000,300000,"11,400股",11400.0,114.0
36,9606,映恩生物-B,100,3500,350000,"13,100股",13100.0,131.0
37,9606,映恩生物-B,100,4000,400000,"14,200股",14200.0,142.0
38,9606,映恩生物-B,100,4500,450000,"15,300股",15300.0,153.0
39,9606,映恩生物-B,100,5000,500000,"16,000股",16000.0,160.0
40,9606,映恩生物-B,100,6000,600000,"18,600股",18600.0,186.0
41,9606,映恩生物-B,100,7000,700000,"21,000股",21000.0,210.0
42,9606,映恩生物-B,100,7536,753600,"22,600股",22600.0,226.0
