,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,9609,海偉股份,200,1,200,"36,611名申请人中367名获发200股",2.0,0.01
1,9609,海偉股份,200,2,400,"8,069名申请人中113名获发200股",2.8,0.01
2,9609,海偉股份,200,3,600,"29,256名申请人中493名获发200股",3.37,0.02
3,9609,海偉股份,200,4,800,"3,733名申请人中73名获发200股",3.91,0.02
4,9609,海偉股份,200,5,1000,"4,439名申请人中96名获发200股",4.33,0.02
5,9609,海偉股份,200,6,1200,"2,223名申请人中53名获发200股",4.77,0.02
6,9609,海偉股份,200,7,1400,"2,009名申请人中51名获发200股",5.08,0.03
7,9609,海偉股份,200,8,1600,"1,521名申请人中41名获发200股",5.39,0.03
8,9609,海偉股份,200,9,1800,"1,171名申请人中34名获发200股",5.81,0.03
9,9609,海偉股份,200,10,2000,"7,600名申请人中227名获发200股",5.97,0.03
10,9609,海偉股份,200,15,3000,"6,442名申请人中233名获发200股",7.23,0.04
11,9609,海偉股份,200,20,4000,"2,672名申请人中111名获发200股",8.31,0.04
12,9609,海偉股份,200,25,5000,"1,872名申请人中87名获发200股",9.29,0.05
13,9609,海偉股份,200,30,6000,"2,166名申请人中109名获发200股",10.06,0.05
14,9609,海偉股份,200,35,7000,"1,748名申请人中95名获发200股",10.87,0.05
15,9609,海偉股份,200,40,8000,"1,077名申请人中63名获发200股",11.7,0.06
16,9609,海偉股份,200,45,9000,870名申请人中54名获发200股,12.41,0.06
17,9609,海偉股份,200,50,10000,"5,444名申请人中349名获发200股",12.82,0.06
18,9609,海偉股份,200,100,20000,"3,816名申请人中340名获发200股",17.82,0.09
19,9609,海偉股份,200,150,30000,"2,798名申请人中302名获发200股",21.59,0.11
20,9609,海偉股份,200,200,40000,"2,249名申请人中279名获发200股",24.81,0.12
21,9609,海偉股份,200,250,50000,"1,788名申请人中246名获发200股",27.52,0.14
22,9609,海偉股份,200,300,60000,"1,536名申请人中231名获发200股",30.08,0.15
23,9609,海偉股份,200,350,70000,"1,691名申请人中273名获发200股",32.29,0.16
24,9609,海偉股份,200,400,80000,"1,223名申请人中211名获发200股",34.51,0.17
25,9609,海偉股份,200,450,90000,991名申请人中181名获发200股,36.53,0.18
26,9609,海偉股份,200,500,100000,"6,001名申请人中1,147名获发200股",38.23,0.19
27,9609,海偉股份,200,1000,200000,"4,474名申请人中1,188名获发200股",53.11,0.27
28,9609,海偉股份,200,1500,300000,"5,645名申请人中1,817名获发200股",64.38,0.32
