代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
9611,龍旗科技,100,1,100,"28,372名申请人中的58名获得100股股份",0.2,0.002
9611,龍旗科技,100,2,200,"8,452名申请人中的34名获得100股股份",0.4,0.004
9611,龍旗科技,100,3,300,"16,441名申请人中的100名获得100股股份",0.61,0.0061
9611,龍旗科技,100,4,400,"3,649名申请人中的29名获得100股股份",0.79,0.0079
9611,龍旗科技,100,5,500,"4,847名申请人中的49名获得100股股份",1.01,0.0101
9611,龍旗科技,100,6,600,"2,821名申请人中的34名获得100股股份",1.21,0.0121
9611,龍旗科技,100,7,700,"3,463名申请人中的49名获得100股股份",1.41,0.0141
9611,龍旗科技,100,8,800,"1,935名申请人中的31名获得100股股份",1.6,0.016
9611,龍旗科技,100,9,900,"1,615名申请人中的29名获得100股股份",1.8,0.018
9611,龍旗科技,100,10,1000,"15,942名申请人中的323名获得100股股份",2.03,0.0203
9611,龍旗科技,100,20,2000,"5,893名申请人中的239名获得100股股份",4.06,0.0406
9611,龍旗科技,100,30,3000,"4,800名申请人中的292名获得100股股份",6.08,0.0608
9611,龍旗科技,100,40,4000,"2,815名申请人中的228名获得100股股份",8.1,0.081
9611,龍旗科技,100,50,5000,"2,645名申请人中的268名获得100股股份",10.13,0.1013
9611,龍旗科技,100,60,6000,"1,763名申请人中的214名获得100股股份",12.14,0.1214
9611,龍旗科技,100,70,7000,"1,311名申请人中的186名获得100股股份",14.19,0.1419
9611,龍旗科技,100,80,8000,"1,223名申请人中的198名获得100股股份",16.19,0.1619
9611,龍旗科技,100,90,9000,996名申请人中的182名获得100股股份,18.27,0.1827
9611,龍旗科技,100,100,10000,"6,779名申请人中的1,373名获得100股股份",20.25,0.2025
9611,龍旗科技,100,200,20000,"3,759名申请人中的1,523名获得100股股份",40.52,0.4052
9611,龍旗科技,100,300,30000,"2,628名申请人中的1,597名获得100股股份",60.77,0.6077
9611,龍旗科技,100,400,40000,"1,679名申请人中的1,361名获得100股股份",81.06,0.8106
9611,龍旗科技,100,500,50000,"100股股份，另1,467名申请人中有19名获得额外100股股份",101.3,1.013
9611,龍旗科技,100,600,60000,"100股股份，另1,084名申请人中有234名获得额外100股股份",121.59,1.2159
9611,龍旗科技,100,700,70000,100股股份，另949名申请人中有397名获得额外100股股份,141.83,1.4183
9611,龍旗科技,100,800,80000,100股股份，另766名申请人中有476名获得额外100股股份,162.14,1.6214
9611,龍旗科技,100,900,90000,100股股份，另699名申请人中有576名获得额外100股股份,182.4,1.824
9611,龍旗科技,100,1000,100000,"200股股份，另5,462名申请人中有142名获得额外100股股份",202.6,2.026
9611,龍旗科技,100,2000,200000,"100股股份，另5,575名申请人中有599名获得额外100股股份",110.74,1.1074
9611,龍旗科技,100,3000,300000,"100股股份，另1,648名申请人中有1,090名获得额外100股股份",166.14,1.6614
9611,龍旗科技,100,4000,400000,200股股份，另929名申请人中有200名获得额外100股股份,221.53,2.2153
9611,龍旗科技,100,5000,500000,200股股份，另620名申请人中有477名获得额外100股股份,276.94,2.7694
9611,龍旗科技,100,6000,600000,300股股份，另431名申请人中有139名获得额外100股股份,332.25,3.3225
9611,龍旗科技,100,7000,700000,300股股份，另249名申请人中有218名获得额外100股股份,387.55,3.8755
9611,龍旗科技,100,8000,800000,400股股份，另233名申请人中有100名获得额外100股股份,442.92,4.4292
9611,龍旗科技,100,9000,900000,400股股份，另129名申请人中有127名获得额外100股股份,498.45,4.9845
9611,龍旗科技,100,10000,1000000,500股股份，另422名申请人中有227名获得额外100股股份,553.79,5.5379
9611,龍旗科技,100,15000,1500000,800股股份，另210名申请人中有64名获得额外100股股份,830.48,8.3048
9611,龍旗科技,100,20000,2000000,1100股股份，另125名申请人中有9名获得额外100股股份,1107.2,11.072
9611,龍旗科技,100,26130,2613000,1400股股份，另270名申请人中有126名获得额外100股股份,1446.67,14.4667
