,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,9887,维立志博,1,100,"53,525名中145名获发100股",0.27,0.0027
1,9887,维立志博,2,200,"19,712名中107名获发100股",0.54,0.0054
2,9887,维立志博,3,300,"11,698名中95名获发100股",0.81,0.0081
3,9887,维立志博,4,400,"6,756名中73名获发100股",1.07,0.0107
4,9887,维立志博,5,500,"18,137名中246名获发100股",1.34,0.0134
5,9887,维立志博,6,600,"5,993名中97名获发100股",1.59,0.0159
6,9887,维立志博,7,700,"4,455名中84名获发100股",1.85,0.0185
7,9887,维立志博,8,800,"5,314名中115名获发100股",2.12,0.0212
8,9887,维立志博,9,900,"3,486名中85名获发100股",2.38,0.0238
9,9887,维立志博,10,1000,"31,166名中844名获发100股",2.64,0.0264
10,9887,维立志博,15,1500,"14,390名中584名获发100股",3.9,0.039
11,9887,维立志博,20,2000,"12,793名中693名获发100股",5.14,0.0514
12,9887,维立志博,25,2500,"10,507名中711名获发100股",6.34,0.0634
13,9887,维立志博,30,3000,"7,052名中573名获发100股",7.51,0.0751
14,9887,维立志博,35,3500,"5,694名中540名获发100股",8.66,0.0866
15,9887,维立志博,40,4000,"3,445名中373名获发100股",9.77,0.0977
16,9887,维立志博,45,4500,"2,473名中301名获发100股",10.85,0.1085
17,9887,维立志博,50,5000,"6,618名中896名获发100股",11.92,0.1192
18,9887,维立志博,60,6000,"5,206名中846名获发100股",13.98,0.1398
19,9887,维立志博,70,7000,"3,752名中711名获发100股",15.93,0.1593
20,9887,维立志博,80,8000,"4,042名中875名获发100股",17.79,0.1779
21,9887,维立志博,90,9000,"2,911名中709名获发100股",19.59,0.1959
22,9887,维立志博,100,10000,"19,734名中5,343名获发100股",21.31,0.2131
23,9887,维立志博,200,20000,"11,299名中6,118名获发100股",35.13,0.3513
24,9887,维立志博,300,30000,"6,956名中5,650名获发100股",44.82,0.4482
25,9887,维立志博,400,40000,"4,144名中344名获发额外100股",108.34,1.0834
26,9887,维立志博,500,50000,"3,592名中1,270名获发额外100股",135.38,1.3538
27,9887,维立志博,600,60000,"2,632名中1,643名获发额外100股",162.45,1.6245
28,9887,维立志博,700,70000,"2,055名中1,840名获发额外100股",189.54,1.8954
29,9887,维立志博,800,80000,"1,933名中321名获发额外100股",214.29,2.1429
30,9887,维立志博,900,90000,"1,505名中657名获发额外100股",230.37,2.3037
31,9887,维立志博,1000,100000,"10,323名中7,302名获发额外100股",241.42,2.4142
32,9887,维立志博,2000,200000,"10,608名中10,019名获发额外100股",195.01,1.9501
33,9887,维立志博,3000,300000,"3,411名中3,127名获发额外100股",291.68,2.9168
34,9887,维立志博,4000,400000,"1,577名中1,402名获发额外100股",386.27,3.8627
35,9887,维立志博,5000,500000,"1,103名中950名获发额外100股",491.27,4.9127
36,9887,维立志博,6000,600000,649名中541名获发额外100股,591.29,5.9129
37,9887,维立志博,7000,700000,478名中385名获发额外100股,691.59,6.9159
38,9887,维立志博,8000,800000,360名中280名获发额外100股,791.88,7.9188
39,9887,维立志博,9000,900000,275名中206名获发额外100股,892.14,8.9214
40,9887,维立志博,10000,1000000,741名中535名获发额外100股,991.9,9.919
41,9887,维立志博,15000,1500000,175名中102名获发额外100股,1491.27,14.9127
42,9887,维立志博,16027,1602700,"1,031名中599名获发额外100股",1609.17,16.0917
