,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,9927,賽力斯,100,1,100,"102,063名申请人中10,207名将获发100股",10.0,0.1
1,9927,賽力斯,100,2,200,"11,181名申请人中1,584名将获发100股",14.17,0.14
2,9927,賽力斯,100,3,300,"15,372名申请人中2,668名将获发100股",17.36,0.17
3,9927,賽力斯,100,4,400,"4,146名申请人中832名将获发100股",20.07,0.2
4,9927,賽力斯,100,5,500,"4,345名申请人中975名将获发100股",22.44,0.22
5,9927,賽力斯,100,6,600,"2,048名申请人中504名将获发100股",24.61,0.25
6,9927,賽力斯,100,7,700,"3,079名申请人中818名将获发100股",26.57,0.27
7,9927,賽力斯,100,8,800,"2,369名申请人中673名将获发100股",28.41,0.28
8,9927,賽力斯,100,9,900,"1,176名申请人中355名将获发100股",30.19,0.3
9,9927,賽力斯,100,10,1000,"10,198名申请人中3,238名将获发100股",31.76,0.32
10,9927,賽力斯,100,15,1500,"4,033名申请人中1,570名将获发100股",38.93,0.39
11,9927,賽力斯,100,20,2000,"4,118名申请人中1,852名将获发100股",44.98,0.45
12,9927,賽力斯,100,25,2500,"2,136名申请人中1,074名将获发100股",50.28,0.5
13,9927,賽力斯,100,30,3000,"2,594名申请人中1,430名将获发100股",55.13,0.55
14,9927,賽力斯,100,35,3500,"1,543名申请人中919名将获发100股",59.56,0.6
15,9927,賽力斯,100,40,4000,"1,902名申请人中1,211名将获发100股",63.67,0.64
16,9927,賽力斯,100,45,4500,"1,158名申请人中782名将获发100股",67.53,0.68
17,9927,賽力斯,100,50,5000,"2,751名申请人中1,959名将获发100股",71.21,0.71
18,9927,賽力斯,100,60,6000,"1,829名申请人中1,427名将获发100股",78.02,0.78
19,9927,賽力斯,100,70,7000,"1,507名申请人中1,270名将获发100股",84.29,0.84
20,9927,賽力斯,100,80,8000,"1,509名申请人中1,360名将获发100股",90.13,0.9
21,9927,賽力斯,100,90,9000,"1,003名申请人中959名将获发100股",95.61,0.96
22,9927,賽力斯,100,100,10000,"6,240名申请人全部获发100股",100.0,1.0
23,9927,賽力斯,100,200,20000,"3,427名申请人中1,464名将获发额外100股",142.73,1.43
24,9927,賽力斯,100,300,30000,"3,123名申请人中2,389名将获发额外100股",176.5,1.77
25,9927,賽力斯,100,400,40000,"2,962名申请人中2,133名将获发额外100股",272.01,2.72
26,9927,賽力斯,100,500,50000,881名申请人中291名将获发额外100股,333.03,3.33
27,9927,賽力斯,100,600,60000,589名申请人中566名将获发额外100股,396.1,3.96
28,9927,賽力斯,100,700,70000,391名申请人中202名将获发额外100股,451.66,4.52
29,9927,賽力斯,100,800,80000,386名申请人中38名将获发额外100股,509.84,5.1
30,9927,賽力斯,100,900,90000,195名申请人中131名将获发额外100股,567.18,5.67
31,9927,賽力斯,100,1000,100000,"1,055名申请人中252名将获发额外100股",623.89,6.24
32,9927,賽力斯,100,2000,200000,411名申请人中284名将获发额外100股,1169.1,11.69
33,9927,賽力斯,100,3000,300000,177名申请人中156名将获发额外100股,1688.14,16.88
34,9927,賽力斯,100,4000,400000,118名申请人中107名将获发额外100股,2190.68,21.91
35,9927,賽力斯,100,5000,500000,87名申请人中71名将获发额外100股,2681.61,26.82
36,9927,賽力斯,100,6000,600000,27名申请人中17名将获发额外100股,3162.96,31.63
37,9927,賽力斯,100,7000,700000,19名申请人中8名将获发额外100股,3642.11,36.42
38,9927,賽力斯,100,8000,800000,26名申请人中16名将获发额外100股,4061.54,40.62
39,9927,賽力斯,100,9000,900000,"13名申请人全部获发4,500股",4500.0,45.0
40,9927,賽力斯,100,10000,1000000,"61名申请人全部获发4,900股",4900.0,49.0
41,9927,賽力斯,100,20000,2000000,"33名申请人全部获发9,600股",9600.0,96.0
42,9927,賽力斯,100,30000,3000000,"12名申请人全部获发13,600股",13600.0,136.0
43,9927,賽力斯,100,40000,4000000,"5名申请人全部获发17,700股",17700.0,177.0
44,9927,賽力斯,100,50100,5010000,"23名申请人全部获发21,700股",21700.0,217.0
