代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
9980,東鵬飲料,100,1,100,"37,167名申请人中的5,575名获得100股股份",15.0,0.15
9980,東鵬飲料,100,2,200,"4,163名申请人中的833名获得100股股份",20.01,0.2001
9980,東鵬飲料,100,3,300,"2,771名申请人中的665名获得100股股份",24.0,0.24
9980,東鵬飲料,100,4,400,"1,703名申请人中的443名获得100股股份",26.01,0.2601
9980,東鵬飲料,100,5,500,"1,576名申请人中的433名获得100股股份",27.47,0.2747
9980,東鵬飲料,100,6,600,791名申请人中的237名获得100股股份,29.96,0.2996
9980,東鵬飲料,100,7,700,658名申请人中的207名获得100股股份,31.46,0.3146
9980,東鵬飲料,100,8,800,655名申请人中的210名获得100股股份,32.06,0.3206
9980,東鵬飲料,100,9,900,403名申请人中的134名获得100股股份,33.25,0.3325
9980,東鵬飲料,100,10,1000,"3,497名申请人中的1,189名获得100股股份",34.0,0.34
9980,東鵬飲料,100,15,1500,"1,380名申请人中的513名获得100股股份",37.17,0.3717
9980,東鵬飲料,100,20,2000,"1,452名申请人中的581名获得100股股份",40.01,0.4001
9980,東鵬飲料,100,25,2500,770名申请人中的350名获得100股股份,45.45,0.4545
9980,東鵬飲料,100,30,3000,887名申请人中的476名获得100股股份,53.66,0.5366
9980,東鵬飲料,100,35,3500,435名申请人中的269名获得100股股份,61.84,0.6184
9980,東鵬飲料,100,40,4000,701名申请人中的485名获得100股股份,69.19,0.6919
9980,東鵬飲料,100,45,4500,252名申请人中的194名获得100股股份,76.98,0.7698
9980,東鵬飲料,100,50,5000,748名申请人中的636名获得100股股份,85.03,0.8503
9980,東鵬飲料,100,60,6000,100股股份,100.0,1.0
9980,東鵬飲料,100,70,7000,100股股份，另364名申请人中有44名获得额外100股股份,112.09,1.1209
9980,東鵬飲料,100,80,8000,100股股份，另363名申请人中有93名获得额外100股股份,125.62,1.2562
9980,東鵬飲料,100,90,9000,100股股份，另259名申请人中有98名获得额外100股股份,137.84,1.3784
9980,東鵬飲料,100,100,10000,"100股股份，另1,757名申请人中有879名获得额外100股股份",150.03,1.5003
9980,東鵬飲料,100,200,20000,200股股份,200.0,2.0
9980,東鵬飲料,100,300,30000,"500股股份，另1,158名申请人中有1,027名获得额外100股股份",588.69,5.8869
9980,東鵬飲料,100,400,40000,600股股份,600.0,6.0
9980,東鵬飲料,100,500,50000,700股股份,700.0,7.0
9980,東鵬飲料,100,600,60000,800股股份,800.0,8.0
9980,東鵬飲料,100,700,70000,900股股份,900.0,9.0
9980,東鵬飲料,100,800,80000,1000股股份,1000.0,10.0
9980,東鵬飲料,100,900,90000,1100股股份,1100.0,11.0
9980,東鵬飲料,100,1000,100000,1200股股份,1200.0,12.0
9980,東鵬飲料,100,2000,200000,2300股股份,2300.0,23.0
9980,東鵬飲料,100,3000,300000,3400股股份,3400.0,34.0
9980,東鵬飲料,100,4000,400000,4400股股份,4400.0,44.0
9980,東鵬飲料,100,5000,500000,5400股股份,5400.0,54.0
9980,東鵬飲料,100,7500,750000,8000股股份,8000.0,80.0
9980,東鵬飲料,100,10000,1000000,10600股股份,10600.0,106.0
9980,東鵬飲料,100,15000,1500000,15800股股份,15800.0,158.0
9980,東鵬飲料,100,20445,2044500,21300股股份,21300.0,213.0
