代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
9981,沃爾核材,200,1,200,"38,921名申请人中的128名获得200股股份",0.66,0.0033
9981,沃爾核材,200,2,400,"20,769名申请人中的135名获得200股股份",1.3,0.0065
9981,沃爾核材,200,3,600,"4,999名申请人中的49名获得200股股份",1.96,0.0098
9981,沃爾核材,200,4,800,"3,201名申请人中的42名获得200股股份",2.62,0.0131
9981,沃爾核材,200,5,1000,"4,333名申请人中的71名获得200股股份",3.28,0.0164
9981,沃爾核材,200,6,1200,"1,731名申请人中的34名获得200股股份",3.93,0.0196
9981,沃爾核材,200,7,1400,"1,077名申请人中的25名获得200股股份",4.64,0.0232
9981,沃爾核材,200,8,1600,"1,160名申请人中的31名获得200股股份",5.34,0.0267
9981,沃爾核材,200,9,1800,848名申请人中的25名获得200股股份,5.9,0.0295
9981,沃爾核材,200,10,2000,"10,801名申请人中的356名获得200股股份",6.59,0.033
9981,沃爾核材,200,15,3000,"2,452名申请人中的121名获得200股股份",9.87,0.0493
9981,沃爾核材,200,20,4000,"3,289名申请人中的217名获得200股股份",13.2,0.066
9981,沃爾核材,200,25,5000,"2,212名申请人中的182名获得200股股份",16.46,0.0823
9981,沃爾核材,200,30,6000,"1,646名申请人中的163名获得200股股份",19.81,0.099
9981,沃爾核材,200,35,7000,"1,184名申请人中的137名获得200股股份",23.14,0.1157
9981,沃爾核材,200,40,8000,"1,290名申请人中的170名获得200股股份",26.36,0.1318
9981,沃爾核材,200,45,9000,"1,155名申请人中的169名获得200股股份",29.26,0.1463
9981,沃爾核材,200,50,10000,"6,748名申请人中的1,095名获得200股股份",32.45,0.1623
9981,沃爾核材,200,100,20000,"4,026名申请人中的1,306名获得200股股份",64.88,0.3244
9981,沃爾核材,200,150,30000,"2,379名申请人中的1,158名获得200股股份",97.35,0.4868
9981,沃爾核材,200,200,40000,"2,242名申请人中的1,455名获得200股股份",129.79,0.649
9981,沃爾核材,200,250,50000,"1,980名申请人中的1,606名获得200股股份",162.22,0.8111
9981,沃爾核材,200,300,60000,"1,538名申请人中的1,497名获得200股股份",194.67,0.9733
9981,沃爾核材,200,350,70000,"200股股份，另1,224名申请人中有166名获得额外200股股份",227.12,1.1356
9981,沃爾核材,200,400,80000,"200股股份，另1,172名申请人中有349名获得额外200股股份",259.56,1.2978
9981,沃爾核材,200,450,90000,"200股股份，另1,001名申请人中有460名获得额外200股股份",291.91,1.4595
9981,沃爾核材,200,500,100000,"200股股份，另5,599名申请人中有3,483名获得额外200股股份",324.42,1.6221
9981,沃爾核材,200,1000,200000,"600股股份，另3,514名申请人中有830名获得额外200股股份",647.24,3.2362
9981,沃爾核材,200,1500,300000,"200股股份，另4,904名申请人中有3,949名获得额外200股股份",361.05,1.8053
9981,沃爾核材,200,2000,400000,400股股份，另977名申请人中有398名获得额外200股股份,481.47,2.4074
9981,沃爾核材,200,2500,500000,600股股份，另692名申请人中有6名获得额外200股股份,601.73,3.0087
9981,沃爾核材,200,3000,600000,600股股份，另451名申请人中有275名获得额外200股股份,721.95,3.6098
9981,沃爾核材,200,3500,700000,800股股份，另245名申请人中有52名获得额外200股股份,842.45,4.2122
9981,沃爾核材,200,4000,800000,800股股份，另246名申请人中有200名获得额外200股股份,962.6,4.813
9981,沃爾核材,200,4500,900000,1000股股份，另159名申请人中有66名获得额外200股股份,1083.02,5.4151
9981,沃爾核材,200,5000,1000000,1200股股份，另718名申请人中有13名获得额外200股股份,1203.62,6.0181
9981,沃爾核材,200,10000,2000000,2400股股份，另262名申请人中有9名获得额外200股股份,2406.87,12.0344
9981,沃爾核材,200,15000,3000000,3600股股份，另92名申请人中有5名获得额外200股股份,3610.87,18.0543
9981,沃爾核材,200,20000,4000000,4800股股份，另52名申请人中有4名获得额外200股股份,4815.38,24.0769
9981,沃爾核材,200,25000,5000000,6000股股份，另48名申请人中有4名获得额外200股股份,6016.67,30.0833
9981,沃爾核材,200,30000,6000000,7200股股份，另22名申请人中有2名获得额外200股股份,7218.18,36.0909
9981,沃爾核材,200,34997,6999400,8400股股份，另104名申请人中有12名获得额外200股股份,8423.08,42.1154
