,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3636,金浔资源,200,1,200,"36,519名中2,749名获200股",15.06085,0.0753
1,3636,金浔资源,200,2,400,"2,341名中224名获200股",17.35344,0.08677
2,3636,金浔资源,200,3,600,"1,019名中104名获200股",18.51986,0.0926
3,3636,金浔资源,200,4,800,592名中61名获200股,18.66742,0.09334
4,3636,金浔资源,200,5,1000,"3,235名中356名获200股",19.8316,0.09916
5,3636,金浔资源,200,6,1200,426名中47名获200股,19.86282,0.09931
6,3636,金浔资源,200,7,1400,343名中39名获200股,20.41885,0.10209
7,3636,金浔资源,200,8,1600,"3,634名中429名获200股",21.1054,0.10553
8,3636,金浔资源,200,9,1800,222名中28名获200股,22.4,0.112
9,3636,金浔资源,200,10,2000,"2,166名中277名获200股",22.67801,0.11339
10,3636,金浔资源,200,15,3000,"1,022名中159名获200股",26.94255,0.13471
11,3636,金浔资源,200,20,4000,889名中164名获200股,31.13441,0.15567
12,3636,金浔资源,200,25,5000,408名中88名获200股,35.48387,0.17742
13,3636,金浔资源,200,30,6000,399名中99名获200股,39.75904,0.1988
14,3636,金浔资源,200,35,7000,189名中53名获200股,43.80165,0.21901
15,3636,金浔资源,200,40,8000,204名中65名获200股,48.32759,0.24164
16,3636,金浔资源,200,45,9000,138名中50名获200股,53.19149,0.26596
17,3636,金浔资源,200,50,10000,"1,050名中417名获200股",56.83651,0.28418
18,3636,金浔资源,200,100,20000,491名中531名获200股,103.90411,0.51952
19,3636,金浔资源,200,150,30000,132名中430名获200股,152.4911,0.76246
20,3636,金浔资源,200,200,40000,478名中478名获200股,200.0,1.0
21,3636,金浔资源,200,250,50000,180名中45名获400股,250.0,1.25
22,3636,金浔资源,200,300,60000,97名中67名获400股,300.0,1.5
23,3636,金浔资源,200,350,70000,57名中90名获400股,350.0,1.75
24,3636,金浔资源,200,400,80000,25名中98名获400股,400.0,2.0
25,3636,金浔资源,200,450,90000,58名中58名获400股,400.0,2.0
26,3636,金浔资源,200,500,100000,501名中896名获600股,500.0,2.5
27,3636,金浔资源,200,1000,200000,"625名中625名获1,600股",1600.0,8.0
28,3636,金浔资源,200,1500,300000,"88名中88名获1,800股",1800.0,9.0
29,3636,金浔资源,200,2000,400000,"51名中51名获2,200股",2200.0,11.0
30,3636,金浔资源,200,2500,500000,"19名中19名获2,600股",2600.0,13.0
31,3636,金浔资源,200,3000,600000,"12名中12名获3,000股",3000.0,15.0
32,3636,金浔资源,200,3500,700000,"13名中13名获3,400股",3400.0,17.0
33,3636,金浔资源,200,4000,800000,"8名中8名获3,800股",3800.0,19.0
34,3636,金浔资源,200,4500,900000,"6名中6名获4,200股",4200.0,21.0
35,3636,金浔资源,200,5000,1000000,"9名中9名获4,600股",4600.0,23.0
36,3636,金浔资源,200,6000,1200000,"6名中6名获5,400股",5400.0,27.0
37,3636,金浔资源,200,7000,1400000,"2名中2名获6,200股",6200.0,31.0
38,3636,金浔资源,200,8000,1600000,"8名中8名获6,400股",6400.0,32.0
39,3636,金浔资源,200,9191,1838200,"35名中35名获7,000股",7000.0,35.0
